====Alpha====
>OD995392.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OK004435.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-CDC-ASC210238213/2021, complete genome
====Lambda====
>MW644498.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-MDH-0957/2021, complete genome
>MZ010885.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MI-CDC-IBX002609320124/2021, complete genome
====Omicron====
>OM339684.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-LACPHL-AH00001/2021, complete genome
>OL672836.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BEL/rega-20174/2021, complete genome
>OL811753.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA-CDC-MMB11932788/2021, complete genome
>OM036257.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/AL-CDC-ASC210613051/2021, complete genome
>OL898820.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IL-CDC-ASC210604879/2021, complete genome
>OM194385.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-CDC-STM-7YBSYS333/2021, complete genome
>OM703978.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-CDC-ASC210648589/2022, complete genome
>OM261865.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/LA-CDC-ASC210571400/2021, complete genome
>OL898879.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IL-CDC-ASC210661125/2021, complete genome
>OL956714.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/OH-UHTL-1532/2021, complete genome
>OM043270.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NY-CDC-LC0432089/2021, complete genome
>OM047912.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-CDC-MMB12177967/2021, complete genome
>OL988140.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-FG-193952/2021, complete genome
>OL987316.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-FG-192969/2021, complete genome
>OM336316.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-CDC-QDX32535223/2021, complete genome
>OW510396.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OL987174.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-FG-193763/2021, complete genome
>OM074446.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA-CDC-MMB12208495/2021, complete genome
>OL898866.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-ASC210661124/2021, complete genome
>OM666975.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/ME-CDC-QDX33311353/2022, complete genome
>OL717063.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-FG-177176/2021, complete genome
>OM409273.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/ID-CDC-LC0481849/2022, complete genome
>OL721912.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUT/SKV-282/2021, complete genome
>OM818853.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-FG-274746/2022, complete genome
>OM119798.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-FG-219113/2021, complete genome
>OM139989.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-CDC-STM-H67AYEMEZ/2021, complete genome
>OM443414.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TX-CDC-FG-243446/2022, complete genome
>OL815447.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA-CDC-STM-YNPP52544/2021, complete genome
>OL987955.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-FG-193827/2021, complete genome
>OM006904.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TX-CDC-FG-194704/2021, complete genome
>OM097174.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-ASC210629734/2021, complete genome
>OL898860.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TN-CDC-ASC210604882/2021, complete genome
>OW092813.2 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OL717062.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MO-CDC-ASC210713936/2021, complete genome
>OL898870.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-CDC-ASC210606580/2021, complete genome
>OM043277.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/DC-CDC-LC0432086/2021, complete genome
>OW107887.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OL898875.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-CDC-ASC210661133/2021, complete genome
>OV884214.1 |Severe acute respiratory syndrome coronavirus 2 isolate RNA genome assembly, complete genome: monopartite
>OM566878.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MA-CDC-ASC210602811/2022, complete genome
>OW105400.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OM364822.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MI-CDC-ASC210565255/2022, complete genome
>OW481598.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OM213375.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CO-CDPHE-2102519591/2021, complete genome
>OM197458.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-CDC-ASC210643200/2021, complete genome
>OM621148.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-FG-259225/2022, complete genome
>OV843238.1 |Severe acute respiratory syndrome coronavirus 2 isolate RNA genome assembly, complete genome: monopartite
>OM773210.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SouthAfrica/NHLS-UCT-GS-AY55/2022, complete genome
>OM172026.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-FG-224268/2021, complete genome
>OV884164.1 |Severe acute respiratory syndrome coronavirus 2 isolate RNA genome assembly, complete genome: monopartite
>OM299847.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-FG-231132/2022, complete genome
>OM409187.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/ID-CDC-LC0481845/2022, complete genome
>ON520167.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-CDC-STM-5ZJYW5APB/2022, complete genome
>OM407134.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-FG-239443/2022, complete genome
>OM958567.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NY-CDC-LC0553978/2022, complete genome
>ON308109.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA-CDC-QDX35528590/2022, complete genome
>ON151461.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NJ-CDC-LC0567437/2022, complete genome
>OW465890.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OW409130.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>ON052605.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-QDX34746660/2022, complete genome
>ON143227.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-CDC-STM-4CUQJ6FBX/2022, complete genome
>OW422229.1 |Severe acute respiratory syndrome coronavirus 2 isolate RNA genome assembly, complete genome: monopartite
>OM854430.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IN-CDC-ASC210856432/2022, complete genome
>ON056583.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-CDC-STM-AS9HY6NWP/2022, complete genome
>OM990427.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NY-CDC-LC0560024/2022, complete genome
>OW414608.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OM803653.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NJ-CDC-LC0540034/2022, complete genome
>OW500434.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OM821326.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-CDC-ASC210553227/2022, complete genome
>OW140600.1 |Severe acute respiratory syndrome coronavirus 2 isolate RNA genome assembly, complete genome: monopartite
>OM990605.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CT-CDC-LC0560015/2022, complete genome
>OM651591.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TX-CDC-FG-260731/2022, complete genome
>ON331493.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NJ-CDC-QDX35776545/2022, complete genome
>ON203524.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/HI-CDC-QDX35326673/2022, complete genome
>OM368899.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-FG-241335/2022, complete genome
>ON348088.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-CDC-STM-WUHE58F8Q/2022, complete genome
>ON034496.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-QDX34633970/2022, complete genome
>OM890286.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-ASC210821879/2022, complete genome
>ON020518.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-CDC-STM-NXD6XKKE9/2022, complete genome
>ON144380.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NJ-CDC-ASC210737600/2022, complete genome
>ON052478.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-QDX34746653/2022, complete genome
>OM824279.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-STM-E3VBE7FMS/2022, complete genome
>OW408957.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>ON056991.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-CDC-STM-DUWQ2WTQK/2022, complete genome
>OM843253.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BHR/5902231260_S53_L001/2022, complete genome
>OM844098.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BHR/R1122690027413/2022, complete genome
>OM947349.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-CDC-ASC210753196/2022, complete genome
>OM752692.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MA-CDCBI-CRSP_KUCBJDYJSLSZJISZ/2022, complete genome
>ON141834.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NY-CDC-QDX35092925/2022, complete genome
>OM072822.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MA-CDCBI-CRSP_URIKNCKBF5674VF4/2021, complete genome
>ON231997.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-CDC-STM-GGUKGZP8J/2022, complete genome
>OM933179.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NY-CDC-QDX34073341/2022, complete genome
>OW515501.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>OM998782.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/PA-CDC-QDX34289597/2022, complete genome
>ON252856.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NH-CDC-ASC210723730/2022, complete genome
>ON251467.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MO-CDC-ASC210851313/2022, complete genome
>ON080072.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-CDC-ASC210734963/2022, complete genome
>OM901452.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TX-CDC-ASC210750164/2022, complete genome
>ON348808.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NV-CDC-LC0580123/2022, complete genome
>OW475993.1 |Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite
>ON453222.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-CDC-QDX36263338/2022, complete genome
>OM477154.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CO-CDC-FG-248530/2022, complete genome
